Gender;GivenName;Surname;StreetAddress;City;ZipCode;CountryFull;EmailAddress;TelephoneNumber;TelephoneCountryCode;Birthday;Age;BSN;Profession;Institution;Nationality;Dyslexia;Over16;Over18;Over21;NonDiacriticalName;UUID;eduID;ExpireIn
male;Martin;Jørgensen;Bijleveldkade 77;Nieuwdorp;4455 TX;The Netherlands;martin.jorgensen@dev.eduwallet.nl;06-19417677;31;07/07/1979;45;999990019;Lecturer;mBOB;Dutch;FALSE;TRUE;TRUE;TRUE;Martin.Jorgensen;66de5c2a-5c1a-4b0b-8ad6-75af19a9efac;FALSE;72576000
female;Sienna;Woodward;De Jagershuizen 137;Apeldoorn;7316 ND;The Netherlands;sienna.woodward@dev.eduwallet.nl;06-79846476;31;01/01/1978;46;999990020;Lecturer;mBOB;Dutch;TRUE;TRUE;TRUE;TRUE;Sienna.Woodward;2b237010-e974-428e-905b-499becf9c5c1;TRUE;54432000
male;Tao;Ch'en;Verdiesenstraat 105;Zegge;4735 CE;The Netherlands;tao.chen@dev.eduwallet.nl;06-89449107;31;28/08/1969;55;999990032;Lecturer;mBOB;Dutch;FALSE;TRUE;TRUE;TRUE;Tao.Chen;8f8494da-f239-474d-9a0e-92b9bdb5bf05;FALSE;31104000
female;Na;Mao;Brinkweg 163;Taarlo;9485 TC;The Netherlands;na.mao@dev.eduwallet.nl;06-13952860;31;27/07/1976;48;999990044;Staff;mBOB;Dutch;FALSE;TRUE;TRUE;TRUE;Na.Mao;d4a7e7e8-6c91-437f-acc8-7432956c4c84;FALSE;139968000
female;Eva;Hanáčková;Loevestein 110;Ugchelen;7339 AX;The Netherlands;eva.hanackova@dev.eduwallet.nl;06-56893610;31;23/09/1956;68;999990056;Staff;mBOB;Dutch;FALSE;TRUE;TRUE;TRUE;Eva.Hanackova;ff5344c3-510d-42e9-b2a2-a171cf172e9e;FALSE;300
female;Dinanda;Haagen;De Meeren 123;Waalre;5581 TA;The Netherlands;dinanda.haagen@dev.eduwallet.nl;06-70616848;31;19/05/2007;17;999990068;Student;mBOB;Dutch;FALSE;TRUE;FALSE;FALSE;Dinanda.Haagen;f2cb63a9-e044-4ce4-88d1-43202214d915;TRUE;103680000
female;Vibeke;Rijkers;Klembergerweg 160;Epse;7214 BK;The Netherlands;vibeke.rijkers@dev.eduwallet.nl;06-35745085;31;28/09/2003;21;999990081;Student;mBOB;Dutch;TRUE;TRUE;TRUE;FALSE;Vibeke.Rijkers;6b1b7217-09f4-4d57-bf64-d8797f5e471f;TRUE;93312000
male;Markus;Kuester;Ripsestraat 86;Rips;5764 PG;The Netherlands;markus.kuester@dev.eduwallet.nl;06-19269505;31;08/06/2002;22;999990093;Student;mBOB;Dutch;FALSE;TRUE;TRUE;TRUE;Markus.Kuester;099c16fc-8262-4dc0-baa5-4bc639aad4ec;FALSE;31104000
female;Gloria;Binnendijk;Wetterkoelenweg 4;Collendoorn;7798 CX;The Netherlands;gloria.binnendijk@dev.eduwallet.nl;06-70686251;31;24/09/2008;16;999990111;Student;mBOB;Dutch;FALSE;TRUE;FALSE;FALSE;Gloria.Binnendijk;50d04fe7-89cc-4fa3-84b0-56a806d99e16;FALSE;124416000
female;Krala;Rahnaz;Leliestraat 120;Sneek;8603 XN;The Netherlands;krala.rahnaz@dev.eduwallet.nl;06-13445640;31;24/03/1977;47;NABOO-719-94190;Professor;TUN;Naboolian;FALSE;TRUE;TRUE;TRUE;Krala.Rahnaz;5fd1b534-89c3-4c2d-a2eb-f9f85853ded4;FALSE;31104000
male;K'tal;K'mpec;Puttendijk 122;Bergeijk;5571 LR;The Netherlands;ktal.kmpec@dev.eduwallet.nl;06-81969604;31;04/09/1964;60;NABOO-719-88115;Professor;TUN;Naboolian;FALSE;TRUE;TRUE;TRUE;Ktal.Kmpec;15571dbd-b3c6-4101-bfd0-67b75f35dc8b;TRUE;31104000
female;J'Syna;Adion;Zaalboslaan 79;Velp;6881 RH;The Netherlands;jsyna.adion@dev.eduwallet.nl;06-45600466;31;25/12/1985;39;NABOO-719-24649;Staff;TUN;Naboolian;FALSE;TRUE;TRUE;TRUE;JSyna.Adion;eb4b9c5a-6403-4491-b526-3f3d0964a0cd;FALSE;31104000
male;Kita;Toral;Pruimengaarde 189;Zoetermeer;2723 AP;The Netherlands;kita.toral@dev.eduwallet.nl;06-22722364;31;11/01/1986;38;NABOO-719-76749;Staff;TUN;Naboolian;TRUE;TRUE;TRUE;TRUE;Kita.Toral;b5baa089-3898-4460-b359-7d7b24acc0e4;FALSE;31104000
male;Kev;Roc;Doctor Struyckenstraat 66;Breda;4812 BJ;The Netherlands;kev.roc@dev.eduwallet.nl;06-94650878;31;26/02/2002;22;NABOO-719-90700;Student;TUN;Naboolian;FALSE;TRUE;TRUE;TRUE;Kev.Roc;20a817e7-ee71-4794-af45-7045711a69f6;TRUE;80352000
female;Ehleyr;Zalcveg;Kromvenweg 154;Lierop;5715 RG;The Netherlands;ehleyr.zalcveg@dev.eduwallet.nl;06-95464330;31;07/03/2001;23;NABOO-719-46548;Student;TUN;Naboolian;FALSE;TRUE;TRUE;TRUE;Ehleyr.Zalcveg;3bc06b53-21b9-4959-8262-6bd866925abc;TRUE;139968000
female;J'Tali;Kurr;Taagstraat 47;Lelystad;8226 MN;The Netherlands;jtali.kurr@dev.eduwallet.nl;06-10461080;31;17/10/1998;26;NABOO-719-54026;Student;TUN;Naboolian;TRUE;TRUE;TRUE;TRUE;JTali.Kurr;2d052550-355f-4bfe-b7e4-f20bb43198a0;FALSE;3600
female;K'Mara;Oparai;Roekenbos 20;Hoofddorp;2134 VE;The Netherlands;kmara.oparai@dev.eduwallet.nl;06-16279302;31;16/03/1994;30;NABOO-719-61253;Teacher;TUN;Naboolian;FALSE;TRUE;TRUE;TRUE;KMara.Oparai;e9c68e4a-d0a9-4b52-ba7d-1a3afe5370da;FALSE;127008000
male;W'Anar;Targesh;Scharwouderstraat 67;Amsterdam;1023 CX;The Netherlands;wanar.targesh@dev.eduwallet.nl;06-59844187;31;18/05/1994;30;NABOO-719-21020;Teacher;TUN;Naboolian;FALSE;TRUE;TRUE;TRUE;WAnar.Targesh;cd01e481-d3bc-4566-ab9a-9bbdf344a114;FALSE;80352000
male;Serge;Delić;Stanfriesweg 32;Enkhuizen;1601 EW;The Netherlands;serge.delic@dev.eduwallet.nl;06-92497431;31;11/12/1977;47;999990123;Lecturer;UvH;Dutch;FALSE;TRUE;TRUE;TRUE;Serge.Delic;e7e067f2-e8cc-41cb-8d9f-2dbada39d31e;FALSE;31104000
male;Peter;Zimmer;Javastraat 121;Haarlem;2022 XP;The Netherlands;peter.zimmer@dev.eduwallet.nl;06-13848424;31;25/05/1977;47;999990135;Lecturer;UvH;Dutch;FALSE;TRUE;TRUE;TRUE;Peter.Zimmer;47629c56-b2e7-40bf-a3dd-c9191a7bae90;FALSE;80352000
female;Holly;Newton;Tulpstraat 177;Heerlen;6414 RC;The Netherlands;holly.newton@dev.eduwallet.nl;06-56284921;31;19/10/1975;49;999990147;Lecturer;UvH;Dutch;FALSE;TRUE;TRUE;TRUE;Holly.Newton;83d9d304-68fb-4931-b798-9535e3b327d3;FALSE;139968000
female;Chyou;Phùng Thị;Goffertweg 37;Nijmegen;6532 AA;The Netherlands;chyou.phungthi@dev.eduwallet.nl;06-74699232;31;26/08/1990;34;999990159;Staff;UvH;Dutch;FALSE;TRUE;TRUE;TRUE;Chyou.PhungThi;47e2be28-dafc-46ea-b37a-014ab8fbda56;FALSE;31104000
male;Song;Han;Krammersweg 96;Mariënheem;8106 PK;The Netherlands;song.han@dev.eduwallet.nl;06-51652288;31;05/06/1977;47;999990160;Staff;UvH;Dutch;FALSE;TRUE;TRUE;TRUE;Song.Han;7c643435-8018-4555-b81d-60575ea21225;TRUE;80352000
female;Chayen;Fris;Traverse 105;Gorinchem;4207 GG;The Netherlands;chayen.fris@dev.eduwallet.nl;06-80828818;31;20/08/1964;60;999990172;Staff;UvH;Dutch;FALSE;TRUE;TRUE;TRUE;Chayen.Fris;691ed0a8-0f1d-4081-8e45-5a7083475e7e;FALSE;139968000
female;Anya;van Nieuwkerk;Van Brakelvliet 52;Barendrecht;2992 TC;The Netherlands;anya.vannieuwkerk@dev.eduwallet.nl;06-86829737;31;19/03/2006;18;999990184;Student;UvH;Dutch;FALSE;TRUE;FALSE;FALSE;Anya.vanNieuwkerk;a0fcd65d-a0ed-4e8f-850a-1ac526258324;FALSE;31104000
female;Sharon;Hankins;Bovenboer 28;Veeningen;7924 PT;The Netherlands;sharon.hankins@dev.eduwallet.nl;06-73522755;31;06/07/2004;20;999990196;Student;UvH;Dutch;FALSE;TRUE;TRUE;FALSE;Sharon.Hankins;43e27e05-a688-41df-ab1e-b74271fe02c6;TRUE;80352000
female;Ludovica;Gómez Llarnas;Nieuwstraat 106;Culemborg;4101 EP;The Netherlands;ludovica.gomezllarnas@dev.eduwallet.nl;06-85561657;31;13/10/2002;22;999990202;Student;UvH;Dutch;TRUE;TRUE;TRUE;TRUE;Ludovica.GomezLlarnas;99a43a80-44c9-456c-b9e5-a3b799d96258;TRUE;300
male;Fetze;Alsvanouds;Bekermosstraat 144;Almere;1314 MC;The Netherlands;fetze.alsvanouds@dev.eduwallet.nl;06-32248635;31;06/07/2001;23;999990214;Professor;UvH;Dutch;FALSE;TRUE;TRUE;TRUE;Fetze.Alsvanouds;26e0709a-0ca8-4b89-871a-0406b9ae8591;FALSE;31104000
male;Carl;Linnaeus;Beeklaan 200;Roosendaal;4702 JJ;The Netherlands;carl.linnaeus@dev.eduwallet.nl;06-89950408;31;23/05/1707;317;999990226;Professor;UvH;Dutch;TRUE;TRUE;TRUE;TRUE;Carl.Linnaeus;dd537017-8140-4523-8182-16d54a51cdb8;FALSE;62208000
female;Esmee;Lamore;Lotbaan 06;Katwoude;1082 AX;The Netherlands;esmee.lamore@dev.eduwallet.nl;06-69193316;31;28/09/2003;21;123456789;Student;Hbot;Dutch;FALSE;TRUE;TRUE;TRUE;Esmee.Lamore;6bed301f-1be7-4a39-ab6c-fa73769fe179;TRUE;80352000
male;Kian;Huisman;Emmadreef 2;Braamt;2486 LJ;The Netherlands;kian.huisman@dev.eduwallet.nl;06-71501819;31;08/06/2002;22;234567891;Student;Hbot;Dutch;TRUE;TRUE;TRUE;TRUE;Kian.Huisman;65825447-1461-4d49-ba56-95d200ac10fc;TRUE;31104000
female;Bente;Lagerweij;Ivysingel 67;Húns;7480 OI;The Netherlands;bente.lagerweij@dev.eduwallet.nl;06-96853579;31;24/09/2008;16;345678912;Student;Hbot;Dutch;FALSE;TRUE;TRUE;TRUE;Bente.Lagerweij;cf59e590-4d8b-433e-944d-33f4e9ca00a4;FALSE;31104000
male;Keano;Wooning;Aminsteeg 24;Tijnje;9627 VM;The Netherlands;keano.wooning@dev.eduwallet.nl;06-47790471;31;11/12/1977;47;456789123;Lecturer;Hbot;Dutch;TRUE;TRUE;TRUE;TRUE;Keano.Wooning;fd63c408-e5d7-41cc-9bad-78b19fa2dbe3;TRUE;72576000
